Username,Name en_NZ,Name zh,Name jp,Description en_NZ,Description zh,Description  jp,menu pageUrl,imageUrl,Tags,Menu Item Names
takumi@fingermenu.co.nz,SIDE,配菜,前菜,Sides,小菜、配菜,前菜,,,Mains,4 Chicken Wings|6 Chicken Wings| Edamame Spring Roll|Cheese Balls|Agedashi Tofu (Vegan)|Edamame Beans|Caesar Salad |Takoyaki Balls|Prawn Spring Rolls|Sweet-Chili-Salmon-Egg-Roll|Tempura-Sushi-Salmon|Tempura-Sushi-Vegetarian|Tempura-Sushi-White Fish|Takumi Style Salad|Salmon Salad|Boiled Dumplings [6pcs]|Seaweed Salad|Tofu Salad|Fried Rice 
takumi@fingermenu.co.nz,TAKUMI SPECIAL,本店特色,スペシャル,Takumi Special,Takumi的特色菜品,スペシャル,,,Mains,Main Sashimi [24pcs]|Entrée Sashimi [12pcs]|White Fish Assortment|Salmon Sashimi [10pcs]|Beef Tataki|Yuzu Chicken|Chicken Tempura| Entrée-Vegetable Tempura|Main-Vegetable Tempura|Sushi Sashimi Combo|Salmon Roll|California Roll|Teriyaki Chicken Roll|Salmon & Prawn Tempura Roll|Salmon Nigiri Lover|Seafood Nigiri Combo|Salmon Nigiri|Broiled Salmon Nigiri|Egg Nigiri|White Fish Nigiri|Prawn Nigiri|Beef Tataki Nigiri
takumi@fingermenu.co.nz,DINNER,晚餐,ディナー,Dinner Menu,晚餐,ディナー,,,Mains,Venison Tataki|Tuna & Scallop Meunière|Burger Steak|5 Spice Prawn|Soft Shell Crab [4pcs]|Soft Shell Crab [6pcs]|Pan Fried Salmon|Beef Cano|Entrée-Prawn Tempura [3pcs]|Entrée-Prawn Tempura [5pcs]|Pork Spare Rib|Teriyaki Chicken (pan grilled)|Slow Cooked Pork Belly|Yakitori Assortment
takumi@fingermenu.co.nz,LUNCH,午餐,午餐,Lunch,午餐,午餐,,,Mains,Teriyaki Beef|Japanese Style Grilled Yuzu Chicken|Teriyaki Chicken|Tempura Chicken|Salmon Sashimi|Japanese Grilled Eel|JAPANESE CURRY WITH RICE-Beef Curry|JAPANESE CURRY WITH RICE-Chicken Curry|JAPANESE CURRY WITH RICE-Seafood Curry|Japanese Style TAKANA Fried Rice|Japanese Style Omelette Rice with Tomato Sauce
takumi@fingermenu.co.nz,Bento Boxes,便当,弁当,Bento Boxes,便当,弁当,,,Mains,Deluxe Bento Box|Yuzu Grilled Chicken Box|Vegetarian Box
takumi@fingermenu.co.nz,Drinks,,,Drinks,,,,,Drinks,Asahi|Sapporo|Kubota Senjyu - Cold|Karatamba - Cold|Ozeki - Hot|Stoke Pilsner|Stoke Dark Ale|Corona|Heineken|Speight's|Magners Traditional Apple Cider|Magners Berry Cider|Sake Tasting Set (3 Kind)|Sake Sparkling Jelly (Peach)|Straight/Rock|With Soda Water|With Sapporo Beer|Chu-hi (Grape/Lychee/Peach)|Lychee / Lemonade|Suntory Whiskey (single) - on rocks|Suntory Whiskey (single) - with Coke|Asahi Zero|Soda Water|Sparkling Water|Calpis Soda|Coke|Coke Zero|Sprite|L&P|Ginger Beer|Lemon Lime & Bitter|Raspberry Coke|Raspberry Lemonade|Green Tea - pot|Genmai Tea - pot|Orange Juice|Apple Juice|Cranberry Juice
,,,,,,,,,,
43degreescafe@fingermenu.co.nz,Weekly Menu,一周菜单,,Weekly Menu,一周菜单,,,,,Avo-Mato. (V)|Tortilla|Banana Split Brioche French Toast|Potato Hash|Potato Hash with Bacon|Eggs Benedict - Mushroom|Eggs Benedict - Bacon|Eggs Benedict - Salmon|GRANOLA - Berry Compote & Yoghurt|GRANOLA - Seasonal Fruits|Toasted Bagels - Cream Cheese Jam Or Pesto|Toasted Bagels - With Bacon & Sliced Tomato|Toasted Bagels - Salmon & Cream Cheese|Eggs Your Way - Soft Poached|Eggs Your Way - Scrambled|Eggs Your Way - Fried|Hot Chips - with sea salt|Bowl of Onion Rings
43degreescafe@fingermenu.co.nz,Business Lunch Special,午餐特别推荐,,Business Lunch Special,午餐特别推荐,,,,,Dumplings|Bao|Soup of the day|Seafood Chowder|BBQ Scotch Fillet On Salad|Chicken Salad|B.L.A.T.|Big Beef Burger|Chicken Burger
43degreescafe@fingermenu.co.nz,Drinks,,,Drinks,,,,,Drinks,"Espresso - Black|Espresso - White|Espresso - Mocha|Filter - coffee of the month|NZ Hot Chocolate|Hot White Chocolate|Deluxe Peruvian - Dark Chocolate (GF, V)|Deluxe Peruvian - Spicy Chocolate (GF, V)|Hot Blackcurrant|Lemon Honey Ginger|Feijoa Pineapple|Tea - English Breakfast|Tea - Earl Grey|Tea - Green / Jasmine|Tea - Oolong|Tea - Peppermint (no caffeine)|Tea - Camomile (no caffeine)|Tea - Red Bush (no caffeine)|Tea - Lemon Ginger (no caffeine)|Tea - Rose buds & Honey (no caffeine)|Tea - Mixed Berry (no caffeine)|Smoothie - Berry|Smoothie - Coconut & Passionfruit|Smoothie - Mango|Smoothie - Banana|Iced Coffee - Black|Iced Coffee - White|Ice Chocolate|Milk Shake - Strawberry|Milk Shake - Chocolate|Milk Shake - Banana|Milk Shake - Caramel|Milk Shake - Vanilla|Milk Shake - Lime|Sparkling Water|Beer Bottle|Brancott Estate MERLOT (glass)|Wild Grace (2017) PINOT NOIR|Rockburn (2016) PINOT NOIR (bottle)|Brancott Estate BRUT CUVEE (glass)|Veuve Clicquot CHAMPAGNE Brut NV (bottle)|Marc Bredif  (2016) VOUVRAY|Villa Maria (2016) ROSIE|Villa Maria SAUVIGNON|Wither Hill SAUVIGNON BLANC|Cloudy Bay SAUVIGNON BLANC (bottle)|Villa Maria CHARDONNAY|Wither Hill CHARDONNAY|Cloudy Bay CHARDONNAY (bottle)|Allan Scott RIESLING dry|Main Divide RIESLING sweet"
